,Neighborhood,op_zone
0,1021,N
1,1026,N
2,3004,N
3,3019,N
4,AIRPORTJFK,N
5,AIRPORTLAGUARDIA,N
6,ALPHABETCITY,N
7,ARVERNE,N
8,ASTORIA,Y
9,BATHBEACH,N
10,BATHGATE,N
11,BAYCHESTER,N
12,BAYRIDGE,Y
13,BAYSIDE,N
14,BEDFORDPARK/NORWOOD,N
15,BEDFORDSTUYVESANT,N
16,BEECHHURST,N
17,BELLEHARBOR,N
18,BELLEROSE,N
19,BELMONT,Y
24,BENSONHURST,Y
26,BERGENBEACH,N
27,BOERUMHILL,N
28,BOROUGHPARK,N
29,BREEZYPOINT,N
30,BRIARWOOD,N
31,BRIGHTONBEACH,N
32,BROADCHANNEL,N
33,BRONX-UNKNOWN,N
34,BRONXDALE,N
35,BRONXPARK,N
36,BROOKLYN-UNKNOWN,N
37,BROOKLYNHEIGHTS,N
38,BROWNSVILLE,Y
45,BUSHTERMINAL,N
46,BUSHWICK,N
47,CAMBRIAHEIGHTS,N
48,CANARSIE,N
49,CARROLLGARDENS,N
50,CASTLEHILL/UNIONPORT,N
51,CHELSEA,N
52,CHINATOWN,N
53,CITYISLAND,N
54,CITYISLAND-PELHAMSTRIP,N
55,CIVICCENTER,N
56,CLINTON,N
57,CLINTONHILL,N
58,CO-OPCITY,Y
60,COBBLEHILL,N
61,COBBLEHILL-WEST,N
62,COLLEGEPOINT,Y
63,CONEYISLAND,Y
72,CORONA,Y
73,COUNTRYCLUB,N
74,CROTONAPARK,Y
76,CROWNHEIGHTS,Y
81,CYPRESSHILLS,N
82,DOUGLASTON,N
83,DOWNTOWN-FULTONFERRY,N
84,DOWNTOWN-FULTONMALL,N
85,DOWNTOWN-METROTECH,Y
93,DYKERHEIGHTS,N
94,EASTELMHURST,N
95,EASTNEWYORK,Y
108,EASTRIVER,N
109,EASTTREMONT,Y
110,EASTVILLAGE,N
111,ELMHURST,N
112,FARROCKAWAY,Y
121,FASHION,N
122,FIELDSTON,N
123,FINANCIAL,N
124,FLATBUSH-CENTRAL,Y
127,FLATBUSH-EAST,Y
130,FLATBUSH-LEFFERTSGARDEN,Y
133,FLATBUSH-NORTH,Y
136,FLATIRON,N
137,FLATLANDS,N
138,FLORALPARK,N
139,FLUSHING-NORTH,Y
141,FLUSHING-SOUTH,Y
143,FLUSHINGMEADOWPARK,N
144,FORDHAM,Y
145,FORESTHILLS,N
146,FORTGREENE,Y
147,FRESHMEADOWS,N
148,GERRITSENBEACH,N
149,GLENDALE,Y
150,GLENOAKS,Y
153,GOWANUS,Y
155,GRAMERCY,N
156,GRAVESEND,Y
157,GREENPOINT,Y
159,GREENWICHVILLAGE-CENTRAL,N
160,GREENWICHVILLAGE-WEST,N
161,HAMMELS,N
162,HARLEM-CENTRAL,Y
164,HARLEM-EAST,Y
165,HARLEM-UPPER,Y
167,HARLEM-WEST,N
168,HIGHBRIDGE/MORRISHEIGHTS,Y
171,HILLCREST,N
172,HOLLIS,N
173,HOLLISHILLS,N
174,HOLLISWOOD,N
175,HOWARDBEACH,N
176,HUNTSPOINT,Y
178,INWOOD,Y
179,JACKSONHEIGHTS,Y
181,JAMAICA,Y
188,JAMAICABAY,Y
195,JAMAICAESTATES,Y
197,JAMAICAHILLS,Y
198,JAVITSCENTER,N
199,KENSINGTON,N
200,KEWGARDENS,N
201,KINGSBRIDGE/JEROMEPARK,N
202,KINGSBRIDGEHTS/UNIVHTS,N
203,KIPSBAY,N
204,LAURELTON,N
205,LITTLEITALY,N
206,LITTLENECK,N
207,LONGISLANDCITY,N
208,LOWEREASTSIDE,N
209,MADISON,N
210,MANHATTAN-UNKNOWN,N
211,MANHATTANBEACH,N
212,MANHATTANVALLEY,N
213,MARINEPARK,N
214,MASPETH,N
215,MELROSE/CONCOURSE,Y
218,MIDDLEVILLAGE,N
219,MIDTOWNCBD,N
220,MIDTOWNEAST,N
221,MIDTOWNWEST,N
222,MIDWOOD,Y
224,MILLBASIN,N
225,MORNINGSIDEHEIGHTS,N
226,MORRISANIA/LONGWOOD,Y
228,MORRISPARK/VANNEST,N
229,MOTTHAVEN/PORTMORRIS,Y
233,MOUNTHOPE/MOUNTEDEN,Y
234,MURRAYHILL,N
235,NAVYYARD,N
236,NEPONSIT,N
237,OAKLANDGARDENS,N
238,OCEANHILL,Y
246,OCEANPARKWAY-NORTH,N
247,OCEANPARKWAY-SOUTH,N
248,OLDMILLBASIN,N
249,OZONEPARK,N
250,PARKCHESTER,N
251,PARKSLOPE,N
252,PARKSLOPESOUTH,N
253,PELHAMBAY,N
254,PELHAMGARDENS,N
255,PELHAMPARKWAYNORTH,N
256,PELHAMPARKWAYSOUTH,N
257,PROSPECTHEIGHTS,N
258,QUEENS-UNKNOWN,N
259,QUEENSVILLAGE,N
260,REDHOOK,Y
262,REGOPARK,Y
266,RICHMONDHILL,N
267,RIDGEWOOD,Y
268,RIVERDALE,N
269,ROCKAWAYPARK,N
270,ROOSEVELTISLAND,N
271,ROSEDALE,N
272,SCHUYLERVILLE/PELHAMBAY,N
273,SEAGATE,N
274,SHEEPSHEADBAY,N
275,SO.JAMAICA-BAISLEYPARK,N
276,SOHO,N
277,SOUNDVIEW,Y
278,SOUTHBRIDGE,N
279,SOUTHJAMAICA,N
280,SOUTHOZONEPARK,N
281,SPRINGCREEK,N
282,SPRINGFIELDGARDENS,N
283,ST.ALBANS,N
284,SUNNYSIDE,Y
285,SUNSETPARK,Y
291,THROGSNECK,N
292,TRIBECA,N
293,UPPERBAY,N
294,UPPEREASTSIDE(59-79),N
295,UPPEREASTSIDE(79-96),N
296,UPPEREASTSIDE(96-110),N
297,UPPERWESTSIDE(59-79),N
298,UPPERWESTSIDE(79-96),N
299,UPPERWESTSIDE(96-116),N
300,VANCORTLANDTPARK,N
301,WAKEFIELD,N
302,WASHINGTONHEIGHTSLOWER,Y
303,WASHINGTONHEIGHTSUPPER,Y
304,WESTCHESTER,Y
306,WHITESTONE,N
307,WILLIAMSBRIDGE,N
308,WILLIAMSBURG-CENTRAL,Y
309,WILLIAMSBURG-EAST,Y
311,WILLIAMSBURG-NORTH,Y
312,WILLIAMSBURG-SOUTH,Y
313,WINDSORTERRACE,N
314,WOODHAVEN,Y
316,WOODLAWN,N
317,WOODSIDE,N
318,WYCKOFFHEIGHTS,N
